Airports,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov ,Dec,YearNo,Airports1,Name2
RAIPUR,71323,66381,67900,67759,84977,71071,68975,69142,61913,66547,71808,75257,2013,RAIPUR,
UDAIPUR,38228,38790,38300,30033,28355,26748,30695,32648,31934,33882,44088,45318,2013,UDAIPUR,
HYDERABAD (GHIAL),506926,498242,510929,520019,597327,592622,582050,680807,657544,626986,630653,721131,2014,HYDERABAD,GHIAL)
DIBRUGARH,20911,19762,24192,29041,26940,26387,27302,22975,24241,28868,24496,31229,2014,DIBRUGARH,
INDORE,98887,91407,94078,94281,108428,106762,90559,113827,114801,119106,107054,126867,2014,INDORE,
DELHI (DIAL),1857580,1948233,2237585,2161741,2388151,2383844,2098004,2185771,2191205,2271156,2254800,2405280,2014,DELHI,DIAL)
LEH,18469,19617,23527,32513,50140,55313,46906,43058,38386,25518,19400,21158,2014,LEH,
PORTBLAIR,78278,67696,68580,65316,75122,64434,41537,48159,57484,76559,75796,81391,2014,PORTBLAIR,
KOLKATA,787509,739276,660206,690037,762135,736090,656936,711300,749570,813636,743125,827224,2014,KOLKATA,
CALICUT,25128,19254,20099,26072,26234,23732,23114,27115,26212,22499,21704,22739,2014,CALICUT,
BANGALORE (BIAL),861133,803584,821573,889526,999493,918553,927356,1038824,1093279,1085058,1046229,1160624,2014,BANGALORE,BIAL)
MUMBAI (MIAL),1866477,1802769,1854047,1891997,2155202,1939099,1767718,1995326,2030720,2124552,2093230,2343268,2014,MUMBAI,MIAL)
GAYA,5583,4146,5685,3580,0,0,0,0,273,3635,4410,6415,2014,GAYA,
TRIVANDRUM,90758,79580,81585,82413,90989,81648,77022,88295,95293,96867,91117,111665,2014,TRIVANDRUM,
MANGALORE,70693,62137,62646,65699,70476,66366,66002,78585,71729,74173,70949,67339,2014,MANGALORE,
CHENNAI,714088,657684,679094,689365,809313,757479,764164,829938,841070,781607,795606,861464,2014,CHENNAI,
TIRUPATI,0,0,26635,0,0,0,0,0,0,0,0,0,2014,TIRUPATI,
COCHIN(CIAL),181685,171484,160315,185429,212776,175750,172540,236039,246949,246613,272072,267510,2014,COCHIN,CIAL)
SRINAGAR,116980,123173,190480,227402,259644,267074,223280,223274,216071,118425,110430,111214,2014,SRINAGAR,
GUWAHATI,190159,159929,160614,181599,175208,179978,186453,165454,181766,193892,175052,194004,2014,GUWAHATI,
VISAKHAPATNAM,79710,73264,78459,81750,97779,88233,4548,93542,91992,64255,77996,93681,2014,VISAKHAPATNAM,
BHUBANESWAR,111987,102870,109047,105306,124066,120762,80675,106659,104032,116337,135754,160578,2014,BHUBANESWAR,
AURANGABAD,37292,37129,40722,38747,41018,40879,36055,41414,0,0,0,0,2014,AURANGABAD,
DEHRADUN,22832,26234,0,0,0,0,30905,26804,29015,35025,34427,31882,2014,DEHRADUN,
TIRUPATHI,0,0,0,16926,17610,17815,18939,21660,18219,20439,21143,24798,2014,TIRUPATHI,
LUCKNOW,141142,158771,167049,156016,181004,195139,150756,171249,0,0,0,0,2014,LUCKNOW,
PATNA,72331,85492,97157,90637,110639,112421,93290,95002,91879,104507,104525,96805,2014,PATNA,
NAGPUR (MIPL),95491,89825,86772,88334,122624,125254,95771,115366,111115,111390,109450,133318,2014,NAGPUR,MIPL)
JAMMU,64485,70515,83917,80183,72515,77732,72269,75252,78106,76203,80393,84010,2014,JAMMU,
COIMBATORE,93254,82580,85169,0,0,0,101106,106361,115093,104852,106165,124053,2014,COIMBATORE,
VARANASI,65351,72324,86057,71118,80071,75205,62408,72071,71607,89088,89995,89843,2014,VARANASI,
CHANDIGARH,60809,78027,95040,100691,113273,104534,91338,95607,112833,108934,104598,79088,2014,CHANDIGARH,
IMPHAL,50506,46417,54461,47445,55914,57814,48137,38637,51663,50014,51850,48913,2014,IMPHAL,
JAIPUR,151966,154896,149524,135376,141518,139744,126104,136918,133617,166594,150805,182431,2014,JAIPUR,
RAJKOT,27546,27546,26858,26153,28354,24279,21361,23016,26290,28951,34588,37574,2014,RAJKOT,
